frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
302,10.066295,26,350.208,229.016,42.997,1.0000,0,0,353.725,237.159,,30,68,1,0,0,-1.9667,-2.8777,-3.5659
303,10.099627,26,350.291,229.041,43.119,1.0000,0,0,353.758,237.258,,33,69,1,0,0,-2.1166,-2.6622,-1.7268
304,10.132959,26,350.182,228.792,42.874,1.0000,0,0,354.543,238.259,,33,71,1,0,0,-2.7386,-2.8120,-1.6545
305,10.166292,26,349.960,228.550,42.532,1.0000,0,0,355.448,238.324,,33,71,1,0,0,-2.5989,-2.6067,-1.4015
306,10.199624,26,349.764,228.425,42.534,1.0000,0,0,355.390,238.267,,35,71,1,0,0,-2.4316,-2.3822,-0.8967
307,10.232956,26,349.656,228.502,42.535,1.0000,0,0,355.441,238.375,,35,71,1,0,0,-3.2094,-2.3776,-0.3943
308,10.266288,26,349.474,228.537,42.535,1.0000,0,0,356.552,238.244,,36,73,1,0,0,-2.7425,-2.2122,-0.3073
309,10.299620,26,349.278,228.679,42.451,1.0000,0,0,357.082,237.482,,31,73,1,0,0,-3.1596,-2.1174,-0.4514
310,10.332952,26,349.160,228.755,42.309,1.0000,0,0,356.965,236.225,,34,70,1,0,0,-4.2457,-2.8950,-2.9904
311,10.366284,26,348.921,228.956,42.125,1.0000,0,0,357.172,234.782,,33,69,1,0,0,-3.9277,-2.3596,-2.1477
312,10.399616,26,348.683,229.107,42.159,1.0000,0,0,357.207,234.475,,36,67,1,0,0,-3.5076,-2.1436,-3.4464
313,10.432948,26,348.422,229.272,42.183,1.0000,0,0,357.245,233.454,,32,67,1,0,0,-3.9269,-1.9368,-3.2288
314,10.466280,26,348.207,229.425,42.283,1.0000,0,0,357.508,233.003,,31,67,1,0,0,-3.8514,-1.6858,-8.6510
315,10.499613,26,348.102,229.570,42.355,1.0000,0,0,356.236,231.778,,32,64,1,0,0,-3.8437,-1.7572,-6.8049
316,10.532945,26,348.308,229.887,42.323,1.0000,0,0,355.321,229.967,,30,63,1,0,0,-4.1812,-1.7939,-3.8110
317,10.566277,26,348.923,230.480,42.383,1.0000,0,0,352.292,227.993,,33,65,1,0,0,-3.9466,-1.8204,-7.8503
318,10.599609,26,349.477,230.789,42.343,1.0000,0,0,352.511,227.175,,30,63,1,0,0,-3.9964,-1.6608,-3.7419
319,10.632941,26,350.054,231.139,42.232,1.0000,0,0,350.783,225.133,,27,63,1,0,0,-3.7881,-1.2943,-2.0080
320,10.666273,26,350.363,231.536,42.318,1.0000,0,0,350.850,225.111,,32,62,1,0,0,-4.2606,-1.4134,-2.2255
321,10.699605,26,350.655,231.646,42.461,1.0000,0,0,350.865,225.341,,34,61,1,0,0,-4.5485,-1.9274,0.6801
322,10.732937,26,350.909,231.906,42.563,1.0000,0,0,350.792,225.173,,28,60,1,0,0,-5.2282,-1.7028,-2.2361
323,10.766269,26,351.123,232.011,42.553,1.0000,0,0,350.720,225.057,,36,62,1,0,0,-4.7953,-1.4613,-3.3898
324,10.799601,26,351.301,232.098,42.792,1.0000,0,0,350.699,224.993,,36,62,1,0,0,-4.5657,-0.7293,0.5064
325,10.832934,26,351.311,232.171,42.715,1.0000,0,0,350.849,225.111,,30,62,1,0,0,-4.7758,-0.7134,-0.4893
326,10.866266,26,351.342,232.151,42.576,1.0000,0,0,350.852,225.087,,34,61,1,0,0,-4.4192,-1.2756,-3.6595
327,10.899598,26,351.353,232.057,42.477,1.0000,0,0,350.852,225.087,,34,62,1,0,0,-3.8560,-1.1528,0.5187
328,10.932930,26,351.480,231.885,42.405,1.0000,0,0,350.852,225.087,,34,61,1,0,0,-4.6006,-0.5735,2.7476
329,10.966262,26,351.547,231.809,42.601,1.0000,0,0,350.870,225.022,,38,62,1,0,0,-4.0238,-0.3257,-2.1027
330,10.999594,26,351.488,231.796,42.659,1.0000,0,0,350.831,225.022,,37,62,1,0,0,-4.3771,-0.2796,-0.6247
331,11.032926,26,351.488,231.962,42.864,1.0000,0,0,350.751,225.118,,35,63,1,0,0,-4.6315,-0.2467,-2.2113
332,11.066258,26,351.362,231.746,42.762,1.0000,0,0,350.726,226.214,,34,63,1,0,0,-4.8270,0.1264,-2.4936
333,11.099590,26,351.348,231.563,42.771,1.0000,0,0,350.801,227.099,,37,63,1,0,0,-4.7435,-0.0452,1.2380
334,11.132923,26,351.213,231.325,42.776,1.0000,0,0,350.711,228.389,,41,62,1,0,0,-4.6600,0.4456,0.9857
335,11.166255,26,351.068,231.167,42.615,1.0000,0,0,350.737,228.395,,35,62,1,0,0,-5.0716,0.2308,-1.9644
336,11.199587,26,350.996,231.000,42.416,1.0000,0,0,350.693,228.401,,34,62,1,0,0,-4.4731,0.1582,-1.5625
337,11.232919,26,350.926,230.925,42.440,1.0000,0,0,350.716,228.366,,39,62,1,0,0,-5.4326,0.6194,-0.8779
338,11.266251,26,350.788,230.871,42.621,1.0000,0,0,350.716,228.366,,41,62,1,0,0,-4.8460,0.7135,-2.4999
339,11.299583,26,350.726,230.842,42.504,1.0000,0,0,350.716,228.366,,38,61,1,0,0,-4.0832,0.5500,-1.0732
340,11.332915,26,350.585,231.011,42.502,1.0000,0,0,350.800,228.351,,31,60,1,0,0,-5.0614,0.7976,-3.8629
341,11.366247,26,350.469,231.146,42.419,1.0000,0,0,351.772,228.152,,43,62,1,0,0,-4.5489,0.6578,0.4016
