frame,timestamp,evaluation_phase,target_id,pred_x,pred_y,radius,confidence,actionable,position_uncertainty_px,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,bg_registry_state,bg_certified_count,stale_recovery_committed,ranker_candidate_id,ranker_margin,ranker_switched,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg,white_active,identity_window_active,identity_switched
0,0.000000,active,1,342.382,242.138,67.132,0.2000,1,2.828,0,0,341.988,237.779,4.376,12,12,0,dormant,0,0,,0.000000,0,0,0,0.0000,0.0000,0.0000,1,0,0
1,0.030062,active,1,341.143,242.206,66.586,0.4000,1,2.273,0,0,342.167,237.673,4.647,12,12,0,dormant,0,0,,0.000000,0,0,0,0.0953,0.0331,0.0000,1,0,0
2,0.060124,active,1,342.380,241.982,67.095,0.6000,1,2.037,0,0,342.167,237.673,4.314,12,12,0,dormant,0,0,,0.000000,0,0,0,0.8562,-0.2258,0.0000,1,0,0
3,0.090186,active,1,341.875,243.146,68.934,0.8000,1,1.933,0,0,342.167,237.673,5.481,12,12,0,dormant,0,0,,0.000000,0,0,0,5.4605,-0.2765,0.0000,1,0,0
4,0.120249,active,1,341.738,242.311,68.959,1.0000,1,1.895,0,0,342.167,237.673,4.658,12,12,0,dormant,0,0,,0.000000,0,0,0,2.6565,-0.4115,0.0000,1,0,0
5,0.150311,active,1,340.365,242.112,69.636,1.0000,1,1.890,0,0,342.167,237.673,4.791,12,12,0,dormant,0,0,,0.000000,0,0,0,1.3113,-0.2392,0.0000,1,0,0
6,0.180373,active,1,340.902,242.568,69.592,1.0000,1,1.901,0,0,342.167,237.673,5.056,12,12,0,dormant,0,0,,0.000000,0,0,0,0.7645,-0.0986,0.0000,1,0,0
7,0.210435,active,1,338.115,241.435,70.146,1.0000,1,1.916,0,0,342.167,237.673,5.529,12,12,0,dormant,0,0,,0.000000,0,0,0,0.6640,-0.2203,0.0000,1,0,0
8,0.240497,active,1,341.943,242.062,68.413,1.0000,1,1.933,0,0,342.167,237.673,4.395,12,12,0,dormant,0,0,,0.000000,0,0,0,2.8209,-0.5388,0.0000,1,0,0
9,0.270559,active,1,338.262,240.860,69.756,1.0000,1,1.947,0,0,342.167,237.673,5.041,12,12,0,dormant,0,0,,0.000000,0,0,0,3.4286,-0.8664,0.0000,1,0,0
10,0.300622,active,1,339.820,241.030,68.875,1.0000,1,1.959,0,0,342.167,237.673,4.097,14,14,0,dormant,0,0,,0.000000,0,0,0,3.2875,-0.4951,0.0000,1,0,0
11,0.330684,active,1,338.892,242.305,69.988,1.0000,1,1.968,0,0,342.167,237.673,5.672,14,14,0,dormant,0,0,,0.000000,0,0,0,4.5018,-0.1330,0.0000,1,0,0
12,0.360746,active,1,338.741,243.321,69.477,1.0000,1,1.974,0,0,342.167,237.673,6.606,14,14,0,dormant,0,0,,0.000000,0,0,0,2.5431,-0.2244,0.0000,1,0,0
13,0.390808,active,1,338.051,243.220,69.735,1.0000,1,1.979,0,0,342.167,237.673,6.907,14,14,0,dormant,0,0,,0.000000,0,0,0,3.1461,-0.4330,0.0000,1,0,0
14,0.420870,active,1,339.706,241.936,69.136,1.0000,1,1.983,0,0,342.167,237.673,4.923,14,14,0,dormant,0,0,,0.000000,0,0,0,3.3599,-0.7059,0.0000,1,0,0
15,0.450932,active,1,342.113,241.421,68.954,1.0000,1,1.985,0,0,342.167,237.673,3.748,14,14,0,dormant,0,0,,0.000000,0,0,0,2.6083,-0.9085,0.0000,1,0,0
16,0.480994,active,1,343.792,243.549,68.253,1.0000,1,1.987,0,0,342.167,237.673,6.096,14,14,0,dormant,0,0,,0.000000,0,0,0,2.4198,0.4682,0.0000,1,0,0
17,0.511057,active,1,341.689,243.372,67.649,1.0000,1,1.988,0,0,342.167,237.673,5.719,14,14,0,dormant,0,0,,0.000000,0,0,0,4.8481,-0.2434,0.0000,1,0,0
18,0.541119,active,1,340.832,242.838,65.969,1.0000,1,1.989,0,0,342.167,237.673,5.335,13,14,0,dormant,0,0,,0.000000,0,0,0,3.5986,-0.1139,0.0000,1,0,0
19,0.571181,active,1,341.142,243.333,64.879,1.0000,1,1.989,0,0,342.167,237.673,5.752,13,14,0,dormant,0,0,,0.000000,0,0,0,3.4730,-0.1969,0.0000,1,0,0
20,0.601243,active,1,341.275,243.355,63.242,1.0000,1,1.989,0,0,342.167,237.673,5.752,14,15,0,dormant,0,0,,0.000000,0,0,0,3.2195,1.1469,0.0000,1,0,0
21,0.631305,active,1,340.245,243.550,62.532,1.0000,1,1.990,0,0,342.167,237.673,6.183,14,15,0,dormant,0,0,,0.000000,0,0,0,3.5572,0.1131,0.0000,1,0,0
22,0.661367,active,1,340.801,242.743,62.023,1.0000,1,1.990,0,0,342.167,237.673,5.251,15,16,0,dormant,0,0,,0.000000,0,0,0,3.9431,0.8099,0.0000,1,0,0
23,0.691430,active,1,343.144,242.434,60.222,1.0000,1,1.990,0,0,342.167,237.673,4.860,15,16,0,dormant,0,0,,0.000000,0,0,0,3.3313,0.4248,0.0000,1,0,0
